brand,phone_name,condition1,condition2,oldprice,newprice,release,ram,rom
,Samsung Galaxy Z Fold6,Đã Kích Hoạt,,33.290.000đ,43.990.000đ,,12 GB,256 GB
,iPhone 12 mini,Cũ đẹp,,7.690.000đ,,,,64 GB
,ZTE Blade V50 Design,Đã Kích Hoạt,,2.390.000đ,3.290.000đ,,8GB + Mở rộng 10GB,256 GB
,Samsung Galaxy Tab S6 Lite,Cũ đẹp,,3.490.000đ,,,4 GB,64 GB
,OPPO A17,Cũ Đẹp,,2.140.000đ,3.990.000đ,,4 GB,64 GB
,iPhone SE 2020,Cũ trầy xước,,5.090.000đ,,,3 GB,128 GB
,Samsung Galaxy Z Flip5,Cũ Đẹp,,12.690.000đ,,,8 GB,512 GB
,ASUS ROG Phone 6,Cũ Trầy Xước,,10.290.000đ,18.990.000đ,,12 GB,256 GB
,iPhone 12 mini,Cũ đẹp,,9.690.000đ,20.990.000đ,,4 GB,256 GB
,OPPO Reno8 Pro,Cũ Đẹp,,7.690.000đ,18.990.000đ,,12 GB,256 GB
,Xiaomi 12 Pro,Cũ Đẹp,,8.590.000đ,27.990.000đ,,12 GB,256 GB
,Apple iPhone 6S,cũ,,2.090.000đ,7.000.000đ,,,32 GB
,Samsung Galaxy M34,Cũ Trầy Xước,,3.890.000đ,7.990.000đ,,8 GB,128 GB
,iPhone 12,Cũ Trầy Xước,,9.290.000đ,17.990.000đ,,,128 GB
,iPhone 12,Đã kích hoạt,,9.990.000đ,15.990.000đ,,,64 GB
,iPhone 14 Plus,Cũ Trầy Xước,,15.390.000đ,24.990.000đ,,6 GB,128 GB
,Oppo A53,Cũ,,2.290.000đ,4.490.000đ,,4 GB,128 GB
,Xiaomi Redmi Note 12 Pro,Cũ Đẹp,,4.290.000đ,9.490.000đ,,8 GB,256 GB
,Samsung Galaxy S24 Ultra,Cũ Trầy Xước,,20.790.000đ,33.990.000đ,,12 GB,256 GB
,Điện thoại Sony Xperia 10V,Cũ Đẹp,,6.690.000đ,12.490.000đ,,8 GB,128 GB
