brand,phone_name,oldprice,newprice,release,ram,rom,combined_condition
,ASUS ROG Phone 6,10.290.000đ,18.990.000đ,,12 GB,256 GB,a_old 
,iPhone 12 mini,9.690.000đ,20.990.000đ,,4 GB,256 GB,a_like_new 
,OPPO Reno8 Pro,7.690.000đ,18.990.000đ,,12 GB,256 GB,a_like_new 
,Xiaomi 12 Pro,8.590.000đ,27.990.000đ,,12 GB,256 GB,a_like_new 
,Apple iPhone 6S,2.090.000đ,7.000.000đ,,,32 GB,a_old 
,Samsung Galaxy M34,3.890.000đ,7.990.000đ,,8 GB,128 GB,a_old 
,iPhone 12,9.290.000đ,17.990.000đ,,,128 GB,a_old 
,iPhone 12,9.990.000đ,15.990.000đ,,,64 GB,a_new 
,iPhone 14 Plus,15.390.000đ,24.990.000đ,,6 GB,128 GB,a_old 
,Oppo A53,2.290.000đ,4.490.000đ,,4 GB,128 GB,a_old 
,Xiaomi Redmi Note 12 Pro,4.290.000đ,9.490.000đ,,8 GB,256 GB,a_like_new 
,Samsung Galaxy S24 Ultra,20.790.000đ,33.990.000đ,,12 GB,256 GB,a_old 
,Điện thoại Sony Xperia 10V,6.690.000đ,12.490.000đ,,8 GB,128 GB,a_like_new 
,OPPO A3X,3.290.000đ,,,6 GB,128 GB,a_like_new 
,iPhone 12 mini,8.990.000đ,20.990.000đ,,4 GB,256 GB,a_old 
,Xiaomi 13 Lite,5.590.000đ,11.490.000đ,,8 GB,256 GB,a_old 
,Samsung Galaxy Z Fold3,11.490.000đ,44.990.000đ,,12 GB,512 GB,a_old 
,Tecno Pova 6,4.990.000đ,6.490.000đ,,8 GB,256 GB,a_new 
,iPhone 11,8.990.000đ,19.990.000đ,,4 GB,256 GB,a_like_new 
,POCO M6,3.190.000đ,4.290.000đ,,6 GB,128 GB,a_new 
,Apple iPhone 12,8.290.000đ,,,,64 GB,a_old 
,iPhone 13 Pro,15.590.000đ,26.990.000đ,,6 GB,256 GB,a_old 
,Xiaomi Redmi Note 13 Pro,4.790.000đ,7.290.000đ,,8 GB,128 GB,a_like_new 
,Xiaomi 14 Ultra,22.090.000đ,32.990.000đ,,16 GB,512 GB,a_like_new 
,OPPO Find X5 Pro,11.590.000đ,19.990.000đ,,12 GB,256 GB,a_old 
,OPPO Reno7 Z,3.590.000đ,9.990.000đ,,8 GB,128 GB,a_like_new 
,iPhone 13 mini,9.990.000đ,21.990.000đ,,4 GB,128 GB,a_old 
,Samsung Galaxy S23 FE,9.490.000đ,14.890.000đ,,8 GB,128 GB,a_new 
,Samsung Galaxy Z Fold3,11.490.000đ,44.990.000đ,,12 GB,256 GB,a_old 
,Realme C53,3.290.000đ,4.790.000đ,,8 GB,256 GB,a_new 
,Samsung Galaxy S22 Ultra,13.590.000đ,36.990.000đ,,12 GB,512 GB,a_old 
,OPPO Reno12,10.590.000đ,12.990.000đ,,12 GB,256 GB,a_new 
,iPhone 14 Pro Max,23.590.000đ,38.990.000đ,,,512 GB,a_old 
,Xiaomi 13 Pro,12.590.000đ,29.990.000đ,,8 GB,256 GB,a_old 
,iPhone 15 Plus,21.590.000đ,28.990.000đ,,,256 GB,a_like_new 
,OPPO Reno8 T,4.590.000đ,,,8 GB,128 GB,a_old 
,Xiaomi 13T,7.890.000đ,12.990.000đ,,8 GB,256 GB,a_like_new 
,Samsung Galaxy M54,5.990.000đ,,,8 GB,256 GB,a_old 
,iPhone 14 Pro Max,22.590.000đ,32.990.000đ,,,256 GB,a_old 
,iPhone 12,7.490.000đ,15.990.000đ,,,64 GB,a_old 
,Vivo X80,7.890.000đ,19.990.000đ,,12 GB,256 GB,a_like_new 
,Samsung Galaxy A33,3.290.000đ,7.290.000đ,,6 GB,128 GB,a_old 
,Điện thoại Sony Xperia 10 V,7.390.000đ,12.490.000đ,,8 GB,128 GB,a_new 
,Samsung Galaxy Z Flip6,21.590.000đ,28.990.000đ,,12 GB,256 GB,a_new 
,Điện thoại Nubia Music NFC,1.890.000đ,2.490.000đ,,4 GB,128 GB,a_new 
,Apple iPhone 8 Plus,4.090.000đ,15.000.000đ,,,64 GB,a_old 
,Apple iPhone 7 Plus,4.090.000đ,,,,128 GB,a_old 
,Samsung Galaxy Z Fold5,20.790.000đ,40.990.000đ,,12 GB,256 GB,a_old 
,Samsung Galaxy S23 Ultra,18.790.000đ,36.990.000đ,,12 GB,512 GB,a_old 
,Samsung Galaxy A14,2.590.000đ,4.490.000đ,,4 GB,128 GB,a_like_new 
,iPhone 15 Pro Max,25.690.000đ,34.990.000đ,,,256 GB,a_old 
,Samsung Galaxy S24 Plus,19.790.000đ,30.490.000đ,,12 GB,512 GB,a_like_new 
,Điện thoại Sony Xperia 1V,20.590.000đ,35.990.000đ,,12 GB,256 GB,a_like_new 
,iPhone 15 Pro Max,31.990.000đ,40.990.000đ,,,512 GB,a_new 
,iPhone 13 Pro Max,18.890.000đ,33.990.000đ,,6 GB,512 GB,a_old 
,Samsung Galaxy Z Fold5,20.790.000đ,44.990.000đ,,12 GB,512 GB,a_old 
,OnePlus Nord CE 3 Lite,3.990.000đ,6.190.000đ,,8 GB,256 GB,a_like_new 
,OPPO A57,2.890.000đ,4.990.000đ,,4 GB,128 GB,a_like_new 
,TECNO POVA 5,3.790.000đ,5.290.000đ,,8 GB,256 GB,a_new 
,iPhone 13,13.890.000đ,33.990.000đ,,4 GB,512 GB,a_old 
,OPPO Reno10,7.190.000đ,10.990.000đ,,8 GB,256 GB,a_new 
,Samsung Galaxy Z Flip5,10.690.000đ,25.990.000đ,,8 GB,256 GB,a_old 
,iPhone 15 Plus,17.390.000đ,25.990.000đ,,,128 GB,a_old 
,Vivo V25 Pro,5.290.000đ,13.990.000đ,,8GB + Mở rộng 8GB,128 GB,a_like_new 
,iPhone X,5.390.000đ,22.000.000đ,,,256 GB,a_old 
,iPhone SE 2020,5.590.000đ,11.990.000đ,,3 GB,128 GB,a_like_new 
,Samsung Galaxy Tab S6 Lite,4.490.000đ,9.990.000đ,,4 GB,64 GB,a_old 
,iPhone 14 Pro,17.390.000đ,27.990.000đ,,,128 GB,a_old 
,iPhone 12 Pro Max,15.790.000đ,37.990.000đ,,6 GB,512 GB,a_old 
,Samsung Galaxy Z Flip4,6.590.000đ,23.990.000đ,,8 GB,128 GB,a_old 
,Samsung Galaxy S21 FE,7.590.000đ,11.490.000đ,,8 GB,256 GB,a_like_new 
,Nubia Neo,3.090.000đ,4.990.000đ,,8 GB,256 GB,a_like_new 
,OnePlus Nord 3,7.890.000đ,12.490.000đ,,16 GB,256 GB,a_like_new 
,OPPO Reno8 T,4.790.000đ,,,8 GB,256 GB,a_like_new 
,Samsung Galaxy S24 Ultra,24.090.000đ,37.490.000đ,,12 GB,512 GB,a_like_new 
,OPPO Find N3,28.290.000đ,44.990.000đ,,16 GB,512 GB,a_old 
,OPPO A96,3.190.000đ,6.990.000đ,,8 GB,128 GB,a_like_new 
,OPPO A17K,1.990.000đ,3.290.000đ,,3 GB,64 GB,a_like_new 
,iPhone 13 Pro Max,20.890.000đ,35.990.000đ,,6 GB,1 TB,a_like_new 
,Samsung Galaxy Z Fold5,20.790.000đ,44.990.000đ,,12 GB,512 GB,a_old 
,Samsung Galaxy S21,6.390.000đ,,,8 GB,128 GB,a_like_new 
,Vivo V23e,3.190.000đ,8.490.000đ,,8 GB,128 GB,a_old 
,TECNO SPARK 20,2.590.000đ,3.490.000đ,,8GB + Mở rộng 8GB,128 GB,a_new 
,OPPO Reno11,8.090.000đ,9.050.000đ,,8 GB,256 GB,a_new 
,Nokia C20,890.000đ,2.490.000đ,,2 GB,32 GB,a_like_new 
,realme 11 Pro,6.590.000đ,11.990.000đ,,8 GB,256 GB,a_like_new 
,vivo V29E,5.990.000đ,8.990.000đ,,8 GB,256 GB,a_new 
,Samsung Galaxy Z Flip4,7.190.000đ,23.990.000đ,,8 GB,128 GB,a_old 
,Samsung Galaxy A54,5.540.000đ,10.490.000đ,,8 GB,128 GB,a_like_new 
,iPhone 13 Pro,19.590.000đ,30.990.000đ,,6 GB,1 TB,a_like_new 
,Xiaomi Redmi Note 13,4.490.000đ,,,8 GB,256 GB,a_new 
,Samsung Galaxy M35,6.690.000đ,8.490.000đ,,8 GB,256 MB,a_new 
,OPPO Find N2 Flip,8.990.000đ,19.990.000đ,,8 GB,256 GB,a_old 
,OPPO Reno10 Pro Plus,10.790.000đ,19.990.000đ,,12 GB,256 GB,a_like_new 
,realme C67,3.390.000đ,,,8 GB,128 GB,a_new 
,iPhone 15 Pro Max,34.490.000đ,46.990.000đ,,,1 TB,a_like_new 
,OPPO A58,3.490.000đ,,,8 GB,128 GB,a_like_new 
